,법정동,년,총 인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상
36,가양동,2015.0,25244.25,2225.75,2377.0,3610.25,4556.5,4033.0,4156.25,2500.0,1206.25,495.75,79.0,4.5
37,가양동,2016.0,25444.5,2170.75,2221.25,3832.25,4672.75,3989.25,4063.5,2651.25,1233.75,521.25,83.0,5.5
38,가양동,2017.0,26472.5,2073.0,2156.0,4295.5,5075.75,4075.25,4005.25,2811.25,1344.75,539.75,90.25,5.75
39,가양동,2018.0,26539.25,1979.25,2053.5,4355.5,5238.25,3957.75,3940.0,2952.0,1402.5,562.75,93.0,4.75
40,가양동,2019.0,26849.75,1931.25,1973.0,4442.5,5344.75,3975.5,3827.75,3172.25,1468.25,609.75,100.0,4.75
41,가양동,2020.0,26513.75,1776.0,1882.75,4355.0,5303.0,3921.0,3685.75,3322.5,1504.5,648.5,109.0,5.75
42,가양동,2021.0,26204.5,1662.25,1788.25,4240.0,5295.25,3844.75,3547.75,3490.75,1549.5,674.5,108.25,3.25
43,가양동,2022.0,25995.5,1561.25,1766.75,4031.0,5369.75,3784.5,3476.0,3516.75,1656.75,731.0,98.75,3.0
44,가회동,2012.0,5397.0,312.0,609.0,678.0,868.0,964.0,789.0,609.0,398.0,135.0,31.0,4.0
45,가회동,2013.0,5219.0,288.0,563.0,619.0,815.0,977.0,774.0,589.0,418.0,142.0,29.0,5.0
46,가회동,2014.0,5070.0,300.0,531.0,600.0,780.0,937.0,742.0,583.0,416.0,145.0,29.0,7.0
47,가회동,2015.0,4837.0,278.0,470.0,567.0,748.0,883.0,708.0,582.0,426.0,139.0,29.0,7.0
48,가회동,2016.0,4635.0,263.0,417.0,538.0,704.0,841.0,702.0,567.0,413.0,156.0,27.0,7.0
49,가회동,2017.0,4531.0,248.0,390.0,539.0,626.0,829.0,725.0,537.0,432.0,171.0,27.0,7.0
50,가회동,2018.0,4429.0,227.0,374.0,518.0,601.0,795.0,724.0,546.0,442.0,156.0,39.0,7.0
51,가회동,2019.0,4383.0,217.0,357.0,485.0,598.0,783.0,719.0,574.0,436.0,170.0,35.0,9.0
52,가회동,2020.0,4325.0,201.0,343.0,495.0,572.0,768.0,685.0,588.0,436.0,189.0,38.0,10.0
